cell_compute_ratio,default_phase_ns,default_predicted_ns,heuristic_phase_ns,heuristic_predicted_ns,size_phase_ns,size_predicted_ns,wait_phase_ns,wait_predicted_ns,spread,resolved,separated,captured_resolved,available,share_arm,indifferent,share_expected,size_indifferent,share_size
0.5,645403592,0,642505028,0,542146757,120036000,421693621,240072000,23709751,yes,yes,no,223709971,,yes,0.5065,yes,0.4616
2.0,1102897712,0,1148457358,0,1078927335,120036000,993494780,240072000,64746465,yes,yes,no,109402932,,yes,0.2918,yes,
